Sample in Buffer,Sample in Window,TRIGGER,soc_i/axi_rffe_iic_o_i2c_scl_tx,soc_i/axi_rffe_iic_o_i2c_sda_tx,soc_i/i_i2c_scl_rx_1,soc_i/i_i2c_sda_rx_1
26824,26824,0,1,1,1,1
26825,26825,0,0,1,0,1
26826,26826,0,0,0,0,0
26827,26827,0,1,0,1,0
26828,26828,0,0,0,0,0
26829,26829,0,1,1,1,0
26830,26830,0,0,1,0,0
26831,26831,0,0,1,0,1
26832,26832,0,0,0,0,0
26833,26833,0,1,0,1,0
26834,26834,0,0,0,0,0
26835,26835,0,0,1,0,1
26836,26836,0,1,1,1,1
26837,26837,0,0,1,0,1
26838,26838,0,0,0,0,0
26839,26839,0,1,0,1,0
26840,26840,0,0,0,0,0
26841,26841,0,1,0,1,0
26842,26842,0,0,0,0,0
26843,26843,0,0,1,0,1
26844,26844,0,1,1,1,1
26845,26845,0,0,1,0,1
26846,26846,0,0,0,0,0
26847,26847,0,1,0,1,0
26848,26848,0,0,0,0,0
26849,26849,0,1,0,1,0
26850,26850,0,0,0,0,0
26851,26851,0,1,0,1,0
26852,26852,0,0,0,0,0
26853,26853,0,1,1,1,0
26854,26854,0,0,1,0,0
26855,26855,0,0,1,0,1
26856,26856,0,0,0,0,0
26857,26857,0,1,0,1,0
26858,26858,0,0,0,0,0
26859,26859,0,0,1,0,1
26860,26860,0,1,1,1,1
26861,26861,0,0,1,0,1
26862,26862,0,0,0,0,0
26863,26863,0,1,0,1,0
26864,26864,0,0,0,0,0
26865,26865,0,1,0,1,0
26866,26866,0,0,0,0,0
26867,26867,0,0,1,0,1
26868,26868,0,1,1,1,1
26869,26869,0,0,1,0,1
26870,26870,0,0,0,0,0
26871,26871,0,1,0,1,0
26872,26872,0,0,0,0,0
26873,26873,0,1,0,1,0
26874,26874,0,0,0,0,0
26875,26875,0,1,0,1,0
26876,26876,0,0,0,0,0
26877,26877,0,1,1,1,0
26878,26878,0,0,1,0,0
26879,26879,0,0,1,0,1
26880,26880,0,0,0,0,0
26881,26881,0,1,0,1,0
26882,26882,0,1,1,1,1
26883,26883,0,1,0,1,0
26884,26884,0,0,0,0,0
26885,26885,0,1,0,1,0
26886,26886,0,0,0,0,0
26887,26887,0,0,1,0,1
26888,26888,0,1,1,1,1
26889,26889,0,0,1,0,1
26890,26890,0,0,0,0,0
26891,26891,0,1,0,1,0
26892,26892,0,0,0,0,0
26893,26893,0,1,0,1,0
26894,26894,0,0,0,0,0
26895,26895,0,0,1,0,1
26896,26896,0,1,1,1,1
26897,26897,0,0,1,0,1
26898,26898,0,0,0,0,0
26899,26899,0,1,0,1,0
26900,26900,0,0,0,0,0
26901,26901,0,0,1,0,1
26902,26902,0,1,1,1,1
26903,26903,0,0,1,0,1
26904,26904,0,0,0,0,0
26905,26905,0,1,0,1,0
26906,26906,0,0,0,0,0
26907,26907,0,1,1,1,0
26908,26908,0,0,1,0,0
26909,26909,0,0,1,0,1
26910,26910,0,0,0,0,0
26911,26911,0,1,0,1,0
26912,26912,0,0,0,0,0
26913,26913,0,1,0,1,0
26914,26914,0,0,0,0,0
26915,26915,0,1,0,1,0
26916,26916,0,0,0,0,0
26917,26917,0,1,0,1,0
26918,26918,0,0,0,0,0
26919,26919,0,1,0,1,0
26920,26920,0,0,0,0,0
26921,26921,0,1,0,1,0
26922,26922,0,0,0,0,0
26923,26923,0,0,1,0,1
26924,26924,0,1,1,1,1
26925,26925,0,0,1,0,1
26926,26926,0,0,0,0,0
26927,26927,0,1,0,1,0
26928,26928,0,0,0,0,0
26929,26929,0,1,1,1,0
26930,26930,0,0,1,0,0
26931,26931,0,0,1,0,1
26932,26932,0,0,0,0,0
26933,26933,0,1,0,1,0
26934,26934,0,0,0,0,0
26935,26935,0,1,0,1,0
26936,26936,0,0,0,0,0
26937,26937,0,1,0,1,0
26938,26938,0,0,0,0,0
26939,26939,0,1,0,1,0
26940,26940,0,0,0,0,0
26941,26941,0,1,0,1,0
26942,26942,0,0,0,0,0
26943,26943,0,1,0,1,0
26944,26944,0,0,0,0,0
26945,26945,0,1,0,1,0
26946,26946,0,0,0,0,0
26947,26947,0,1,0,1,0
26948,26948,0,0,0,0,0
26949,26949,0,1,1,1,0
26950,26950,0,0,1,0,0
26951,26951,0,0,1,0,1
26952,26952,0,0,0,0,0
26953,26953,0,1,0,1,0
26954,26954,0,0,0,0,0
26955,26955,0,1,0,1,0
26956,26956,0,0,0,0,0
26957,26957,0,1,0,1,0
26958,26958,0,0,0,0,0
26959,26959,0,1,0,1,0
26960,26960,0,0,0,0,0
26961,26961,0,1,0,1,0
26962,26962,0,0,0,0,0
26963,26963,0,1,0,1,0
26964,26964,0,0,0,0,0
26965,26965,0,1,0,1,0
26966,26966,0,0,0,0,0
26967,26967,0,1,0,1,0
26968,26968,0,0,0,0,0
26969,26969,0,1,1,1,0
26970,26970,0,0,1,0,0
26971,26971,0,0,1,0,1
26972,26972,0,0,0,0,0
26973,26973,0,1,0,1,0
26974,26974,0,1,1,1,1
26975,26975,0,1,0,1,0
26976,26976,0,0,0,0,0
26977,26977,0,1,0,1,0
26978,26978,0,0,0,0,0
26979,26979,0,0,1,0,1
26980,26980,0,1,1,1,1
26981,26981,0,0,1,0,1
26982,26982,0,0,0,0,0
26983,26983,0,1,0,1,0
26984,26984,0,0,0,0,0
26985,26985,0,1,0,1,0
26986,26986,0,0,0,0,0
26987,26987,0,0,1,0,1
26988,26988,0,1,1,1,1
26989,26989,0,0,1,0,1
26990,26990,0,1,1,1,1
26991,26991,0,0,1,0,1
26992,26992,0,0,0,0,0
26993,26993,0,1,0,1,0
26994,26994,0,0,0,0,0
26995,26995,0,1,0,1,0
26996,26996,0,0,0,0,0
26997,26997,0,1,1,1,0
26998,26998,0,0,1,0,0
26999,26999,0,0,1,0,1
27000,27000,0,0,0,0,0
27001,27001,0,1,0,1,0
27002,27002,0,0,0,0,0
27003,27003,0,1,0,1,0
27004,27004,0,0,0,0,0
27005,27005,0,1,0,1,0
27006,27006,0,0,0,0,0
27007,27007,0,1,0,1,0
27008,27008,0,0,0,0,0
27009,27009,0,1,0,1,0
27010,27010,0,0,0,0,0
27011,27011,0,1,0,1,0
27012,27012,0,0,0,0,0
27013,27013,0,0,1,0,1
27014,27014,0,1,1,1,1
27015,27015,0,0,1,0,1
27016,27016,0,0,0,0,0
27017,27017,0,1,0,1,0
27018,27018,0,0,0,0,0
27019,27019,0,1,1,1,0
27020,27020,0,0,1,0,0
27021,27021,0,0,1,0,1
27022,27022,0,0,0,0,0
27023,27023,0,1,0,1,0
27024,27024,0,0,0,0,0
27025,27025,0,1,0,1,0
27026,27026,0,0,0,0,0
27027,27027,0,0,1,0,1
27028,27028,0,1,1,1,1
27029,27029,0,0,1,0,1
27030,27030,0,0,0,0,0
27031,27031,0,1,0,1,0
27032,27032,0,0,0,0,0
27033,27033,0,1,0,1,0
27034,27034,0,0,0,0,0
27035,27035,0,1,0,1,0
